ID,Title,Author,Year,Format,File
1,Rangkuman Kuliah Umum ,Allya Sabilla Al Fawziyah,13040123140120,PDF,ebook/Rangkuman Kuliah Umum.pdf
2,Laut Bercerita,Leila S Chudori,2017,PDF,ebook/Laut bercerita.pdf
3,Exploring effects of intelligent,Shaofeng Wang dkk,2023,PDF,ebook/Exploring effects.pdf
4,Layanan Kebunghattaan Di Perpustakaan Universitas Bung Hatta,Septevan Nanda Yudisman,2023,PDF,ebook/Layanan perpus.pdf
5,Peran Pustakawan dalam Kegiatan Hubungan Masyarakat di Perpustakaan,Joko Santosa,2021,PDF,ebook/Peran Pustakawan.pdf
6,Public Relations in Contemporary Academic Libraries,Iniobong & Unwana I,2025,PDF,ebook/Public Relations.pdf
7,Komilag Anak Jujur yang Hebat,Kemendikbud,2015,PDF,ebook/komilag anak jujur yang hebat.pdf
8,Kalah Oleh Si Cerdik,Atisah,2017,PDF,ebook/kalah oleh si cerdik.pdf
9,Cahaya Cahaya Kecil,Hasta Indriyana,2017,ebook/cahaya kecil.pdf
10,Kisah Dua Putri dan Si Raja Ular,Dwi Pratiwi,2016,ebook/Kisah Dua Putri.pdf
11,Putri Surga,Sri Kusuma Winahyu,2017,ebook/putri surga.pdf
